종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"451060","1Q 200액티브","26465","75","0.28","26431.65","26390","26840","26280","285867","7604400792","218336250000","0","8250000","코스피 200","814.59","-1.69","-0.21"
"491610","1Q CD금리액티브(합성)","103310","10","0.01","103425.40","103310","103310","103305","4565","471597615","210442470000","0","2037000","KIS 하나 CD금리 총수익지수","11692.95","5.34","0.05"
"0103T0","1Q K소버린AI","10370","-135","-1.29","10392.25","10495","10505","10320","151359","1572748653","29036000000","0","2800000","iSelect K소버린AI 지수","2058.88","-32.22","-1.54"
"463290","1Q 단기금융채액티브","107590","25","0.02","107591.91","107640","107640","107580","100421","10804321572","190111530000","0","1767000","MK 머니마켓 지수(총수익)","14531.43","6.51","0.04"
"0131W0","1Q 단기특수은행채액티브","100660","10","0.01","100665.14","100655","100660","100655","7101","714776660","109014780000","0","1083000","KIS 단기특수은행채 지수(총수익)","115.52","0.05","0.04"
"479080","1Q 머니마켓액티브","52840","5","0.01","52839.79","52835","52840","52835","140113","7403062289","882110960000","0","16694000","KIS-하나 MMF 지수(총수익)","118.92","0.06","0.05"
"0026S0","1Q 미국S&P500","11970","-220","-1.80","12007.24","11985","12015","11955","319448","3827861373","251370000000","0","21000000","S&P 500","6836.17","3.41","0.05"
"0052S0","1Q 미국S&P500미국채혼합50액티브","11360","-75","-0.66","11374.15","11335","11385","11335","238099","2703666877","253328000000","0","22300000","S&P 500 and Short-Term Treasury 50/50 Blend Index","275.64","0.12","0.04"
"0069M0","1Q 미국나스닥100","11810","-270","-2.24","11852.93","11840","11870","11800","223384","2643410433","105109000000","0","8900000","NASDAQ 100","24732.73","45.12","0.18"
"0111P0","1Q 미국나스닥100미국채혼합50액티브","10245","-120","-1.16","10258.56","10230","10275","10225","307865","3156308116","194655000000","0","19000000","Nasdaq-100 US T-Bills 0-6 Month 50/50 Index","2841.82","3.16","0.11"
"0083S0","1Q 미국메디컬AI","10015","-295","-2.86","10028.56","10040","10050","9990","173871","1742321301","44066000000","0","4400000","KEDI 미국메디컬AI 지수","1801.10","0.00","0.00"
