종목코드	6자리코드	종목명	시장구분	상장주식수
60310	060310	3S	KOSDAQ	53059040
95570	095570	AJ네트웍스	KOSPI	45252759
6840	006840	AK홀딩스	KOSPI	13247561
54620	054620	APS	KOSDAQ	18394221
265520	265520	AP시스템	KOSDAQ	15050821
211270	211270	AP위성	KOSDAQ	15082304
139050	139050	BF랩스	KOSDAQ	8644551
27410	027410	BGF	KOSPI	95716791
282330	282330	BGF리테일	KOSPI	17283906
126600	126600	BGF에코머티리얼즈	KOSDAQ	62766899
138930	138930	BNK금융지주	KOSPI	310327033
1460	001460	BYC	KOSPI	6246150
1465	001465	BYC우	KOSPI	2153850
83790	083790	CG인바이츠	KOSDAQ	76894182
1040	001040	CJ	KOSPI	29176998
79160	079160	CJ CGV	KOSPI	165582091
35760	035760	CJ ENM	KOSDAQ GLOBAL	21929154
311690	311690	CJ 바이오사이언스	KOSDAQ	13065462
00104K	00104K	CJ4우(전환)	KOSPI	4226512
120	000120	CJ대한통운	KOSPI	22812344
11150	011150	CJ씨푸드	KOSPI	35930773
11155	011155	CJ씨푸드1우	KOSPI	200000
1045	001045	CJ우	KOSPI	2260223
97950	097950	CJ제일제당	KOSPI	15054186
97955	097955	CJ제일제당 우	KOSPI	1327433
51500	051500	CJ프레시웨이	KOSDAQ	11871586
58820	058820	CMG제약	KOSDAQ	147842183
56730	056730	CNT85	KOSDAQ	74111186
480	000480	CR홀딩스	KOSPI	46890490
65770	065770	CS	KOSDAQ	19411130
83660	083660	CSA 코스믹	KOSDAQ	62829459
590	000590	CS홀딩스	KOSPI	1154482
12030	012030	DB	KOSPI	201173933
477760	477760	DB금융스팩12호	KOSDAQ	5840000
5830	005830	DB손해보험	KOSPI	69384000
16610	016610	DB증권	KOSPI	42446389
990	000990	DB하이텍	KOSPI	43504588
99520	099520	DGI	KOSDAQ	45281824
300	000300	DH오토넥스	KOSPI	41437055
290120	290120	DH오토리드	KOSDAQ	15824249
25440	025440	DH오토웨어	KOSDAQ	48781224
1530	001530	DI동일	KOSPI	19729280
15590	015590	DKME	KOSPI	236981544
210	000210	DL	KOSPI	20955884
215	000215	DL우	KOSPI	1686115
375500	375500	DL이앤씨	KOSPI	38693623
37550L	37550L	DL이앤씨2우(전환)	KOSPI	2111951
37550K	37550K	DL이앤씨우	KOSPI	2113885
68790	068790	DMS	KOSDAQ	22570224
7340	007340	DN오토모티브	KOSPI	58510865
4840	004840	DRB동일	KOSPI	19930000
241520	241520	DSC인베스트먼트	KOSDAQ	27000000
155660	155660	DSR	KOSPI	16000000
69730	069730	DSR제강	KOSPI	14400000
17860	017860	DS단석	KOSPI	17584212
180400	180400	DXVX	KOSDAQ	98429432
92780	092780	DYP	KOSPI	13168460
17940	017940	E1	KOSPI	6860000
418620	418620	E8	KOSDAQ	19850477
245620	245620	EDGC	KOSDAQ	138493951
37370	037370	EG	KOSDAQ	8624972
278990	278990	EMB	KONEX	8064777
365550	365550	ESR켄달스퀘어리츠	KOSPI	246089000
50120	050120	ES큐브	KOSDAQ	13564086
383220	383220	F&F	KOSPI	38307075
7700	007700	F&F홀딩스	KOSPI	39114367
214270	214270	FSN	KOSDAQ	43690959
130500	130500	GH신소재	KOSDAQ	14545052
114090	114090	GKL	KOSPI	61855670
900290	900290	GRT	KOSDAQ	80850000
78930	078930	GS	KOSPI	92915378
83450	083450	GST	KOSDAQ	18430000
6360	006360	GS건설	KOSPI	85581490
1250	001250	GS글로벌	KOSPI	82533764
7070	007070	GS리테일	KOSPI	83607415
78935	078935	GS우	KOSPI	1784826
499790	499790	GS피앤엘	KOSPI	19830841
297890	297890	HB솔루션	KOSDAQ	73140914
440290	440290	HB인베스트먼트	KOSDAQ	27506430
78150	078150	HB테크놀러지	KOSDAQ	92715916
225530	225530	HC보광산업	KOSDAQ	36338727
60560	060560	HC홈센타	KOSDAQ	126940008
12630	012630	HDC	KOSPI	59741721
39570	039570	HDC랩스	KOSPI	25957601
89470	089470	HDC현대EP	KOSPI	31900000
294870	294870	HDC현대산업개발	KOSPI	65907330
267270	267270	HD건설기계	KOSPI	47974118
9540	009540	HD한국조선해양	KOSPI	70773116
267250	267250	HD현대	KOSPI	78993085
443060	443060	HD현대마린솔루션	KOSPI	44831335
71970	071970	HD현대마린엔진	KOSPI	33921495
322000	322000	HD현대에너지솔루션	KOSPI	11200000
267260	267260	HD현대일렉트릭	KOSPI	36047135
329180	329180	HD현대중공업	KOSPI	104961225
376270	376270	HEM파마	KOSDAQ	7181727
97230	097230	HJ중공업	KOSPI	90295344
195940	195940	HK이노엔	KOSDAQ GLOBAL	28329891
14790	014790	HL D&I	KOSPI	37858601
28300	028300	HLB	KOSDAQ	133117504
3580	003580	HLB글로벌	KOSPI	50663505
278650	278650	HLB바이오스텝	KOSDAQ	87005539
67630	067630	HLB생명과학	KOSDAQ	121917058
24850	024850	HLB이노베이션	KOSDAQ	147476833
187420	187420	HLB제넥스	KOSDAQ	29202968
47920	047920	HLB제약	KOSDAQ	32799356
115450	115450	HLB테라퓨틱스	KOSDAQ	84382263
46210	046210	HLB파나진	KOSDAQ	45470654
196300	196300	HLB펩	KOSDAQ	9293398
204320	204320	HL만도	KOSPI	46957120
60980	060980	HL홀딩스	KOSPI	9213477
11200	011200	HMM	KOSPI	943237970
403870	403870	HPSP	KOSDAQ GLOBAL	83999120
36640	036640	HRS	KOSDAQ	16354800
35000	035000	HS애드	KOSPI	16207644
2460	002460	HS화성	KOSPI	10150000
487570	487570	HS효성	KOSPI	3725927
298050	298050	HS효성첨단소재	KOSPI	4479948
467930	467930	IBKS제23호스팩	KOSDAQ	4230000
469480	469480	IBKS제24호스팩	KOSDAQ	4230000
